D, [2017-07-23T22:01:09.170075 #7320] DEBUG -- : MONGODB | Topology type 'unknown' initializing.
D, [2017-07-23T22:01:09.170575 #7320] DEBUG -- : MONGODB | Server 127.0.0.1:27017 initializing.
D, [2017-07-23T22:01:09.185077 #7320] DEBUG -- : MONGODB | Topology type 'unknown' changed to type 'single'.
D, [2017-07-23T22:01:09.185577 #7320] DEBUG -- : MONGODB | Server description for 127.0.0.1:27017 changed from 'unknown' to 'standalone'.
D, [2017-07-23T22:01:09.185577 #7320] DEBUG -- : MONGODB | There was a change in the members of the 'single' topology.
D, [2017-07-23T22:01:45.443012 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | STARTED | {"drop"=>"characters (SSF HC Legacy)"}
D, [2017-07-23T22:01:45.454514 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | SUCCEEDED | 0.011002s
D, [2017-07-23T22:01:49.439553 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | STARTED | {"insert"=>"characters (SSF HC Legacy)", "documents"=>[{"equipment"=>{"items"=>[{"verified"=>false, "w"=>1, "h"=>2, "ilvl"=>70, "icon"=>"https://web.poecdn.com/gen/image/YTo2OntzOjEyOiJlcXVp/cHBlZE9ubHkiO2I6MTtz/Ojk6ImFjY291bnRJZCI7/TzoxODoiR3JpbmRiXE...
D, [2017-07-23T22:01:49.467911 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | SUCCEEDED | 0.028148s
D, [2017-07-23T22:01:49.471413 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | STARTED | {"count"=>"characters (SSF HC Legacy)", "query"=>{}}
D, [2017-07-23T22:01:49.472411 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | SUCCEEDED | 0.0005s
D, [2017-07-23T22:01:49.473913 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | STARTED | {"drop"=>"characters (2 Week Turmoil (JRE094))"}
D, [2017-07-23T22:01:49.484954 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | SUCCEEDED | 0.01054s
D, [2017-07-23T22:01:53.897590 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | STARTED | {"insert"=>"characters (2 Week Turmoil (JRE094))", "documents"=>[{"equipment"=>{"items"=>[], "character"=>{"name"=>"WrexPleaseNerfNecroSupp", "league"=>"2 Week Turmoil (JRE094)", "classId"=>3, "ascendancyClass"=>2, "class"=>"Elementalist", "level"=>10...
D, [2017-07-23T22:01:53.908600 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | SUCCEEDED | 0.01101s
